,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
454,thinadhoo,MV,0.53,72.93,82.49,75.0,84.0,9.78
456,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
457,moose factory,CA,51.26,-80.61,6.8,84.0,1.0,4.7
458,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
459,bluff,NZ,-46.6,168.33,52.0,84.0,91.0,5.99
460,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
461,bluff,NZ,-46.6,168.33,52.0,84.0,91.0,5.99
464,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
465,saint-augustin,CA,45.63,-73.98,34.72,59.0,90.0,8.05
466,wuwei,CN,37.93,102.64,53.78,9.0,0.0,6.24
467,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
468,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
469,neuquen,AR,-38.95,-68.06,69.8,35.0,79.0,5.82
470,vardo,NO,70.37,31.11,25.66,67.0,0.0,5.46
471,harper,LR,4.38,-7.71,74.05,95.0,20.0,1.41
472,margate,ZA,-30.86,30.37,69.12,88.0,100.0,22.37
473,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
474,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
475,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
476,vitim,RU,59.44,112.57,7.86,87.0,100.0,10.16
479,hobyo,SO,5.35,48.53,83.03,60.0,8.0,13.71
480,kulhudhuffushi,MV,6.62,73.07,82.08,66.0,0.0,3.11
481,yerbogachen,RU,61.28,108.01,-5.82,92.0,100.0,10.8
482,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
483,okhotsk,RU,59.36,143.24,9.81,74.0,67.0,15.66
484,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
486,grand-lahou,CI,5.24,-5.0,81.81,78.0,2.0,6.62
487,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
488,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
489,provideniya,RU,64.42,-173.23,33.96,98.0,100.0,4.21
490,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
491,mogadishu,SO,2.04,45.34,80.6,74.0,75.0,5.79
492,birao,CF,10.3,22.78,75.96,25.0,51.0,13.65
493,general pico,AR,-35.66,-63.75,60.06,96.0,6.0,10.29
494,bonfim,BR,-20.33,-44.24,63.57,96.0,74.0,3.31
495,tommot,RU,58.97,126.27,20.73,95.0,100.0,1.3
496,nikolskoye,RU,59.7,30.79,41.0,100.0,90.0,6.71
497,tasiilaq,GL,65.61,-37.64,35.6,69.0,100.0,43.62
498,ilulissat,GL,69.22,-51.1,37.4,32.0,80.0,23.04
499,aklavik,CA,68.22,-135.01,6.8,55.0,20.0,4.7
500,souillac,MU,-20.52,57.52,78.17,78.0,75.0,3.36
502,abeche,TD,13.83,20.83,78.48,17.0,100.0,21.43
503,puerto leguizamo,CO,-0.19,-74.78,72.18,96.0,98.0,1.95
504,port macquarie,AU,-31.43,152.91,72.19,37.0,90.0,18.34
505,diamantino,BR,-14.4,-56.44,72.36,91.0,100.0,3.89
506,bodmin,GB,50.47,-4.72,43.38,81.0,49.0,17.22
508,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
509,khatanga,RU,71.98,102.47,-1.36,96.0,100.0,15.84
510,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
511,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
512,ostrovnoy,RU,68.05,39.51,21.63,96.0,100.0,1.77
513,teguise,ES,29.06,-13.56,66.2,68.0,20.0,13.87
514,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
515,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
516,leningradskiy,RU,69.38,178.42,17.91,58.0,7.0,3.76
517,stillwater,US,36.12,-97.06,54.73,87.0,1.0,6.93
518,victoria,SC,-4.62,55.45,84.2,74.0,20.0,8.05
519,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
520,saldanha,ZA,-33.01,17.94,62.56,85.0,100.0,9.4
521,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
523,saldanha,ZA,-33.01,17.94,62.56,85.0,100.0,9.4
524,ternate,ID,0.8,127.4,84.52,61.0,51.0,6.76
525,seminole,US,32.72,-102.64,51.3,87.0,1.0,5.82
526,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
528,yelizavetino,RU,51.83,44.83,34.45,76.0,29.0,8.77
529,narsaq,GL,60.91,-46.05,37.4,69.0,33.0,41.38
531,kysyl-syr,RU,63.9,122.77,0.12,95.0,100.0,5.3
532,kilrush,IE,51.96,-8.06,39.22,93.0,20.0,10.29
533,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
534,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
535,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
536,chuy,UY,-33.69,-53.46,61.0,85.0,23.0,8.59
538,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
539,torbay,CA,47.66,-52.73,31.78,53.0,5.0,19.46
540,kaitangata,NZ,-46.28,169.85,51.01,74.0,80.0,10.0
541,sheridan,US,39.65,-105.03,46.22,22.0,1.0,7.16
543,olinda,BR,-22.82,-43.41,75.18,83.0,75.0,6.93
544,fort nelson,CA,58.81,-122.69,6.8,71.0,90.0,2.24
545,abu zabad,SD,12.35,29.25,78.71,18.0,44.0,16.78
546,pimenta bueno,BR,-11.68,-61.19,71.31,91.0,80.0,1.72
547,bluff,NZ,-46.6,168.33,52.0,84.0,91.0,5.99
548,victoria,SC,-4.62,55.45,84.2,74.0,20.0,8.05
549,san luis,AR,-33.3,-66.34,68.23,76.0,4.0,12.62
550,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
551,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
552,bambous virieux,MU,-20.34,57.76,78.13,78.0,75.0,3.36
553,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
554,ponta do sol,CV,17.2,-25.09,75.2,73.0,75.0,24.16
557,hami,CN,42.84,93.51,48.67,18.0,0.0,3.0
558,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
559,guarapari,BR,-20.67,-40.5,78.03,78.0,96.0,9.17
560,ploemeur,FR,47.73,-3.43,45.3,87.0,20.0,12.75
561,ancud,CL,-41.87,-73.83,50.0,93.0,74.0,4.7
562,new norfolk,AU,-42.78,147.06,59.59,41.0,75.0,14.99
563,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
564,yellowknife,CA,62.45,-114.38,2.7,84.0,90.0,8.05
565,bluff,NZ,-46.6,168.33,52.0,84.0,91.0,5.99
566,palmer,US,61.6,-149.11,31.39,54.0,1.0,9.17
567,ilulissat,GL,69.22,-51.1,37.4,32.0,80.0,23.04
568,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
569,kruisfontein,ZA,-34.0,24.73,62.24,86.0,97.0,15.84
570,fortuna,US,40.6,-124.16,48.15,100.0,90.0,3.36
571,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
572,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
573,namibe,AO,-15.19,12.15,77.07,77.0,26.0,4.05
575,dunedin,NZ,-45.87,170.5,52.0,81.0,97.0,10.0
576,vagur,FO,61.47,-6.81,43.05,71.0,22.0,15.03
577,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
578,warrnambool,AU,-38.38,142.48,57.0,79.0,92.0,10.0
579,cherskiy,RU,68.75,161.3,-1.99,93.0,7.0,1.59
580,la ronge,CA,55.1,-105.3,8.6,60.0,90.0,9.17
581,poum,NC,-20.23,164.02,74.89,73.0,5.0,19.15
582,inuvik,CA,68.36,-133.71,6.8,55.0,20.0,4.7
583,sernur,RU,56.93,49.15,28.24,75.0,72.0,12.41
584,saskylakh,RU,71.97,114.09,-3.28,99.0,94.0,0.69
585,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
586,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
587,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
588,norman wells,CA,65.28,-126.83,-11.21,83.0,5.0,4.7
589,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
590,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
592,qinzhou,CN,21.96,108.62,81.52,35.0,30.0,9.91
593,kirksville,US,40.19,-92.58,45.12,61.0,1.0,8.05
594,new norfolk,AU,-42.78,147.06,59.59,41.0,75.0,14.99
595,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
596,tasiilaq,GL,65.61,-37.64,35.6,69.0,100.0,43.62
597,bonnyville,CA,54.27,-110.74,10.4,72.0,75.0,5.82
598,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
599,vostok,RU,46.45,135.83,30.9,57.0,20.0,4.21
600,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
601,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
602,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
603,paamiut,GL,61.99,-49.67,39.81,63.0,100.0,15.37
604,torbay,CA,47.66,-52.73,31.78,53.0,5.0,19.46
605,bethlehem,US,40.62,-75.38,27.72,53.0,40.0,3.36
606,saint-philippe,RE,-21.36,55.77,77.29,61.0,72.0,3.36
607,axim,GH,4.87,-2.24,75.47,91.0,45.0,2.08
608,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
609,cidreira,BR,-30.17,-50.22,70.45,91.0,99.0,17.72
610,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
611,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
612,tacuarembo,UY,-31.73,-55.98,63.19,93.0,86.0,10.4
613,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
615,kenora,CA,49.76,-94.48,18.64,78.0,90.0,9.17
617,hasaki,JP,35.73,140.83,64.65,55.0,20.0,2.24
618,bitkine,TD,11.98,18.21,81.36,27.0,81.0,4.05
619,tuktoyaktuk,CA,69.44,-133.03,6.8,65.0,20.0,13.87
620,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
621,norman wells,CA,65.28,-126.83,-11.21,83.0,5.0,4.7
622,foso,GH,5.7,-1.29,73.67,95.0,54.0,1.81
623,pevek,RU,69.7,170.27,6.44,67.0,0.0,2.68
624,kaitangata,NZ,-46.28,169.85,51.01,74.0,80.0,10.0
625,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
626,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
627,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
628,hambantota,LK,6.12,81.12,78.8,100.0,40.0,2.24
629,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
630,souillac,MU,-20.52,57.52,78.17,78.0,75.0,3.36
631,hovd,MN,48.01,91.64,35.2,39.0,79.0,4.85
632,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
633,necochea,AR,-38.55,-58.74,41.0,87.0,0.0,1.99
634,clyde river,CA,70.47,-68.59,15.8,92.0,90.0,33.33
636,saskylakh,RU,71.97,114.09,-3.28,99.0,94.0,0.69
637,tecoanapa,MX,16.99,-99.26,82.4,88.0,5.0,2.21
638,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
639,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
640,pevek,RU,69.7,170.27,6.44,67.0,0.0,2.68
642,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
644,huainan,CN,32.59,117.01,74.39,14.0,0.0,19.01
645,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
646,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
647,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
648,uarini,BR,-2.98,-65.16,77.72,80.0,83.0,2.35
649,saskylakh,RU,71.97,114.09,-3.28,99.0,94.0,0.69
650,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
651,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
652,thompson,CA,55.74,-97.86,-0.41,77.0,75.0,14.99
654,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
655,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
656,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
658,bluff,NZ,-46.6,168.33,52.0,84.0,91.0,5.99
659,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
660,chokurdakh,RU,70.62,147.9,-2.87,96.0,71.0,5.46
661,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
662,lorengau,PG,-2.02,147.27,81.01,81.0,100.0,18.81
663,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
664,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
666,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
667,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
668,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
669,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
670,lebu,CL,-37.62,-73.65,49.71,89.0,96.0,4.12
672,bukan,IR,36.52,46.21,49.26,35.0,0.0,2.64
673,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
674,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
675,east london,ZA,-33.02,27.91,64.4,88.0,75.0,10.29
676,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
677,yingkou,CN,40.67,122.24,51.84,83.0,100.0,20.22
678,bindura,ZW,-17.3,31.33,73.94,62.0,73.0,8.16
680,necochea,AR,-38.55,-58.74,41.0,87.0,0.0,1.99
682,victoria,SC,-4.62,55.45,84.2,74.0,20.0,8.05
683,mount isa,AU,-20.73,139.49,91.4,6.0,67.0,10.29
684,cidreira,BR,-30.17,-50.22,70.45,91.0,99.0,17.72
685,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
686,carnarvon,AU,-24.87,113.63,78.8,61.0,0.0,19.46
687,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
689,fortuna foothills,US,32.66,-114.41,71.53,19.0,1.0,4.7
690,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
691,wuwei,CN,37.93,102.64,53.78,9.0,0.0,6.24
692,diapaga,BF,12.07,1.79,75.51,32.0,7.0,3.91
693,bethel,US,60.79,-161.76,24.78,85.0,1.0,13.87
694,wajid,SO,3.81,43.25,78.91,73.0,97.0,8.34
696,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
697,narsaq,GL,60.91,-46.05,37.4,69.0,33.0,41.38
698,sitka,US,37.17,-99.65,48.99,44.0,0.0,1.99
699,carnarvon,AU,-24.87,113.63,78.8,61.0,0.0,19.46
700,kaitangata,NZ,-46.28,169.85,51.01,74.0,80.0,10.0
701,mar del plata,AR,-46.43,-67.52,47.73,71.0,99.0,16.44
702,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
703,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
704,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
705,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
706,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
707,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
708,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
710,nikolskoye,RU,59.7,30.79,41.0,100.0,90.0,6.71
711,noyabrsk,RU,63.2,75.45,-0.48,94.0,98.0,7.45
712,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
713,puerto palomas,MX,31.77,-107.62,53.6,54.0,1.0,0.87
714,flinders,AU,-34.58,150.85,69.39,35.0,40.0,10.29
715,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
716,fortuna,US,40.6,-124.16,48.15,100.0,90.0,3.36
717,tucurui,BR,-3.77,-49.67,75.4,88.0,8.0,3.51
718,torbay,CA,47.66,-52.73,31.78,53.0,5.0,19.46
719,richards bay,ZA,-28.77,32.06,70.14,78.0,61.0,19.17
720,norman wells,CA,65.28,-126.83,-11.21,83.0,5.0,4.7
721,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
722,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
723,manzanillo,MX,19.05,-104.32,82.4,79.0,41.0,2.15
724,pierre,US,44.37,-100.35,38.8,86.0,1.0,8.05
725,tumaco,CO,1.8,-78.82,78.4,85.0,87.0,14.67
726,sabang,ID,1.17,120.82,77.52,83.0,76.0,0.22
727,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
728,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
730,ust-shonosha,RU,61.15,41.34,32.07,94.0,100.0,8.84
731,norman wells,CA,65.28,-126.83,-11.21,83.0,5.0,4.7
732,nicoya,CR,10.15,-85.45,76.6,78.0,100.0,6.93
733,port elizabeth,ZA,-33.92,25.57,66.2,77.0,90.0,17.22
734,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
735,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
736,geraldton,AU,-28.77,114.6,75.2,60.0,1.0,14.99
737,abu dhabi,AE,24.47,54.37,77.0,57.0,54.0,11.41
738,iqaluit,CA,63.75,-68.52,6.39,77.0,75.0,19.46
739,lalibela,ET,12.04,39.05,67.53,40.0,52.0,2.62
741,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
742,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
743,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
744,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
745,brooks,CA,50.57,-111.89,12.99,88.0,100.0,8.99
746,khatanga,RU,71.98,102.47,-1.36,96.0,100.0,15.84
748,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
749,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
750,husavik,IS,66.04,-17.34,30.2,86.0,90.0,14.99
752,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
753,tommot,RU,58.97,126.27,20.73,95.0,100.0,1.3
754,saint-philippe,RE,-21.36,55.77,77.29,61.0,72.0,3.36
756,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
757,gold coast,AU,-28.0,153.41,84.67,33.0,40.0,13.87
758,lloydminster,CA,53.28,-110.01,12.2,85.0,90.0,10.29
759,new norfolk,AU,-42.78,147.06,59.59,41.0,75.0,14.99
760,thompson,CA,55.74,-97.86,-0.41,77.0,75.0,14.99
761,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
762,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
763,mgandu,TZ,-5.96,34.11,73.36,55.0,55.0,12.82
764,tuktoyaktuk,CA,69.44,-133.03,6.8,65.0,20.0,13.87
765,pisco,PE,-13.71,-76.2,62.82,82.0,28.0,6.93
767,labuhan,ID,-2.54,115.51,93.81,42.0,98.0,1.16
768,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
769,severodvinsk,RU,64.56,39.82,24.8,92.0,90.0,8.95
770,husavik,IS,66.04,-17.34,30.2,86.0,90.0,14.99
772,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
774,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
775,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
777,ponta do sol,CV,17.2,-25.09,75.2,73.0,75.0,24.16
778,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
779,la ronge,CA,55.1,-105.3,8.6,60.0,90.0,9.17
780,dingle,IE,52.14,-10.27,51.49,69.0,67.0,11.07
782,berlevag,NO,70.86,29.09,30.6,71.0,93.0,8.77
783,pasighat,IN,28.06,95.33,71.1,83.0,93.0,2.59
784,mount isa,AU,-20.73,139.49,91.4,6.0,67.0,10.29
785,arraial do cabo,BR,-22.97,-42.02,73.04,93.0,100.0,14.65
786,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
787,nanortalik,GL,60.14,-45.24,34.54,82.0,83.0,6.96
789,salalah,OM,17.01,54.1,80.6,69.0,20.0,1.12
790,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
791,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
793,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
794,torbay,CA,47.66,-52.73,31.78,53.0,5.0,19.46
795,chilon,MX,17.11,-92.27,60.1,98.0,81.0,1.72
796,sheregesh,RU,52.93,87.98,16.12,86.0,100.0,3.29
797,qaqortoq,GL,60.72,-46.03,37.4,69.0,24.0,41.38
798,comodoro rivadavia,AR,-45.87,-67.48,46.4,75.0,70.0,4.7
799,pevek,RU,69.7,170.27,6.44,67.0,0.0,2.68
